id,Category,Business Name,Website,Description,Address,Email,Phone
1,Ambulance,Ambulock Inc,ambulockinc.com,"Ambulock is a locksmith service that provides top local locksmith services in Decatur and Huntsville, AL.","Madison, Madison County, AL",info@ambulockinc.com,1742169884
2,Auto Detailing,Crowell's Auto Detailing,autodetailingjasper.com,---,"Jasper, AL (Walker County)",,3266489909
3,Auto Detailing,Motorcity Detailing,motorcitydetails.com,Mobile detailing for vehicles in Huntsville/Madison.,"Huntsville, Madison County, AL",info@motorcitydetails.com,1023481101
4,Auto Detailing,Swords Mobile Detailing,swordsmobiledetailing.com,,"Huntsville/Madison Area, Madison County, AL",webmaster@ignitelocal.com,1741286601
5,Auto Repair,A-Alpha Plumbing & Heating Inc,,"BBB A+ plumbing & heating contractor.","Northport, Tuscaloosa",,205-333-2833
6,Auto Repair,Able Towing,abletowingbirmingham.com,,"Birmingham (Jefferson)",,(205) 252-5500
7,Auto Repair,Audi Huntsville,audihuntsville.com,"Dealership service center. Visit Audi Huntsville in Huntsville, AL for your next new or used car, financing, auto parts or service. Serving Madison, Decatur & Houston AL.","Huntsville, Madison County, AL",,2566175608
8,Auto Repair,Christian Brothers Automotive,cbac.com,"Car repair and vehicle maintenance. Christian Brothers Automotive is an automotive services company that specializes in car repair and vehicle maintenance.","Madison, Madison County, AL / Houston, Texas",,(256) 482-1095
9,Auto Repair,Express Oil Change & Tire Engineers,expressoil.com,"Quick oil changes and tire services. Express Oil Change & Tire Engineers is an Automotive Services company that specializes in quick oil changes and tire services.","Bessemer / Huntsville, AL / Birmingham, Alabama, United States",,(205) 424-7255
10,Auto Repair,Landers McLarty Chevrolet,landersmclartychevrolet.com,"New and used vehicle dealer with service center. Landers McLarty Chevrolet is a new and used vehicle dealer. We have the perfect truck, car, or SUV for Madison and Decatur shoppers. Come see us in HUNTSVILLE or give us a call today!","Huntsville, Madison County, AL",flags@2x.png,(888) 415-7976
